"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.285554718559378,0.166410428364314,0.103824860972925,0.0818851908982408,0.0670126029948913,0.0502783643711152,0.0485172457037358,0.0490908949014385,0.0409053414408487,0.0403479992127415,0.0382681588853106,0.0279041936950611
"2",0.258859150804794,0.163076154597015,0.0960593718810033,0.0897417097093385,0.0692792911302785,0.0542210246669416,0.0454686111944628,0.0532746593714068,0.0480471904599508,0.0375785348636944,0.0432613365060073,0.0411329648151077
"3",0.259354218106479,0.166767612724231,0.106574836735473,0.0919232313616309,0.0636965582523425,0.0598350572880226,0.0351660358940177,0.0515211473689467,0.0536726953835797,0.0289320989423148,0.0398877694824684,0.0426687384604937
"4",0.240582643101822,0.1651496760026,0.101451541574294,0.0822291929697137,0.0685200312505874,0.0649613981952828,0.0371203590892468,0.0555716870071992,0.0593364775616948,0.0355098062476058,0.0448432938584116,0.0447238931415418
"5",0.230468395131235,0.169332200158057,0.0994106635369149,0.0792904120312027,0.0697069805956686,0.0594431977480404,0.0396223675656774,0.0527896915410053,0.063813273127621,0.0333574583512949,0.0393444591876693,0.0634209010256137
"6",0.233044537972658,0.165975846159074,0.0981158776887491,0.0817007773951692,0.0568805088803006,0.0510439180336675,0.0591012809799461,0.0541628292585273,0.0600710197328038,0.0401685971905063,0.048771069177516,0.0509637375310821
"7",0.224423326021604,0.164261803409274,0.108552023694038,0.0770571890461994,0.0593223769583729,0.0596357173290583,0.0607708681601139,0.0622931430189613,0.0589105637957024,0.0462607454131002,0.0338074466355082,0.0447047965180679
"8",0.239912670684514,0.167617961766751,0.118012885837663,0.0763877509655575,0.0660084933449617,0.0575222780445512,0.0703206066421638,0.049710928644049,0.0410482319671707,0.0416362427352112,0.0265394157304932,0.0452825336369147
"9",0.242603587860373,0.168609895707519,0.120841483486645,0.0861046506947706,0.0556488559983841,0.0454966326939299,0.0726968695139614,0.0497866595821734,0.0397805095776551,0.0417625034944187,0.0323978653616967,0.0442704860284735
"10",0.239548558719774,0.171734118383385,0.114011021500617,0.0919583743815908,0.0674817797675282,0.0497470713331769,0.0514078659029209,0.0424711270261157,0.0407493225393205,0.0432009831048443,0.0395555732888395,0.0481342040518866
"11",0.242755844367451,0.176743901565933,0.124223596006046,0.0891653291622225,0.070928910934593,0.0428707815957318,0.0444208512201223,0.0424627505744124,0.0379782560396936,0.0432389795097343,0.0309857532506813,0.0542250457733786
"12",0.231594236984585,0.174023263450501,0.111743745265051,0.0827846339595573,0.0687840992696497,0.0563094983851309,0.0538621042251195,0.0435439548042864,0.039074447162356,0.0467053790153761,0.0371434816759358,0.0544311558024504
"13",0.247512938717796,0.180514414978684,0.109373071735366,0.0962440714833766,0.0612203132186005,0.0491260571973264,0.048178352576646,0.0532876752610731,0.0332246243486212,0.0419632403890545,0.0357907694192615,0.0435644706741945
