"","z","(Intercept)","M","N"
"1",1,2.34374267109563,0.0240989972054614,0.0432156249073327
"2",2,2.29298995327477,0.0484922176022453,0.0606937872275053
"3",3,2.24353840593818,0.0716721664549886,0.0732708743191816
"4",4,2.19529378829821,0.0933056364619746,0.0786043529300606
"5",5,2.13683325456139,0.130059500775856,0.082050762596868
"6",6,2.07681763341755,0.170984363744956,0.0890488646934931
"7",7,2.0122421815663,0.224341336791605,0.0927963334183971
"8",8,1.9519601557096,0.270400654013991,0.0974282940017372
"9",9,1.88603017235685,0.315365073819891,0.0998229856877323
"10",10,1.8161007035062,0.366379359130356,0.103846608230711
"11",11,1.75420591855974,0.404920514316911,0.10829723208563
"12",12,1.68943536336279,0.443995904916626,0.110611386080886
"13",13,1.62651542702443,0.478225648449339,0.116179725806536
"14",14,1.55295841542798,0.535863621121021,0.123224457119045
"15",15,1.48318859246349,0.575544594951395,0.127872065130125
"16",16,1.41922113897491,0.613085411743229,0.133352094504724
"17",17,1.34577718403158,0.663425757825121,0.137056593445476
"18",18,1.28247397771034,0.695251584087436,0.142227624896771
"19",19,1.20722517860229,0.749516939756045,0.149230376933426
"20",20,1.13039263594072,0.807920261021779,0.152182244826208
"21",21,1.0556873829366,0.856327968072543,0.161223113723964
"22",22,0.986821476974662,0.899667724403166,0.166607949425675
"23",23,0.924662716161932,0.936064256276094,0.169844410677967
"24",24,0.858743779239542,0.975429061540802,0.175964175926697
"25",25,0.798543971686515,1.00332303224644,0.179982139804152
"26",26,0.736582151692107,1.04732160856218,0.187429562588023
"27",27,0.690956933851311,1.07695344957824,0.192132328074569
"28",28,0.640219762911287,1.11415525884954,0.1939910284374
"29",29,0.603692992291745,1.14161801468545,0.196308256973564
"30",30,0.578637133136748,1.15494076852982,0.197364088084301
"31",31,0.5507719082523,1.16493426281498,0.198562316980107
"32",32,0.521557599820355,1.17917105994737,0.204543435168577
"33",33,0.502520227011853,1.18428919668015,0.207638878260988
"34",34,0.489047982110947,1.1945589804131,0.207849914729032
"35",35,0.476321018502877,1.20130862656151,0.209812180034461
"36",36,0.46623149184528,1.19937889156768,0.211299636434301
"37",37,0.468397026757852,1.1869468690786,0.210353769968568
"38",38,0.470946825465097,1.16876166632859,0.210506275616214
"39",39,0.472347982456999,1.15475033477057,0.211841350810925
