"","z","(Intercept)","M","N"
"1",1,2.25065499617034,0.00642982572010664,0.0424174624807223
"2",2,2.1965182541285,0.034769136388363,0.062152359573005
"3",3,2.14521606884147,0.0525103375061854,0.0746871951987385
"4",4,2.09368619862589,0.0702015407808561,0.0770757068262956
"5",5,2.03032173139607,0.107691355311845,0.081356883675555
"6",6,1.97350908672017,0.13812780078176,0.0833913003825957
"7",7,1.90762837253217,0.181225920351976,0.0891910826369148
"8",8,1.84584741440885,0.212265922707218,0.0931081982431005
"9",9,1.77649019659542,0.261790676560017,0.101198510496019
"10",10,1.71528430990273,0.28488836624584,0.107019685236301
"11",11,1.65016889353353,0.321808988796553,0.105111898505003
"12",12,1.58319422770872,0.360958172289472,0.113208142215878
"13",13,1.50735492193328,0.412039631570006,0.113043528990199
"14",14,1.43064559465943,0.460922422837253,0.117702977197322
"15",15,1.35127669457001,0.503598191284401,0.121888036194457
"16",16,1.2674070964065,0.564345334752962,0.134310113026707
"17",17,1.181508277507,0.615832482974122,0.140537604790491
"18",18,1.09514689204281,0.677720164790317,0.147735675554069
"19",19,1.01716082059183,0.726151636530369,0.151699372340417
"20",20,0.939497605631293,0.768451468668394,0.157933932675996
"21",21,0.868186518807875,0.806965855974573,0.166546905545048
"22",22,0.790557808874205,0.851772822974438,0.171453689684533
"23",23,0.718004575287329,0.894797025668162,0.177203342616958
"24",24,0.662421751164443,0.92516956989878,0.182456230212976
"25",25,0.616757967815463,0.948871788586067,0.189243597410129
"26",26,0.568190914190984,0.978483274038289,0.192901883990605
"27",27,0.529167281078516,0.990731458483085,0.195698010220875
"28",28,0.493395249000239,1.00009477792251,0.197709572413664
"29",29,0.462658237854231,1.01538555332276,0.199853814392303
"30",30,0.439083287052166,1.03182682825803,0.20291714536427
"31",31,0.425940277465941,1.03227179602272,0.204317085658194
"32",32,0.410868679122562,1.04318337689306,0.204626474465934
"33",33,0.40079203272067,1.04298334974296,0.206483237660441
"34",34,0.397823603361055,1.03699649509487,0.209285263945824
"35",35,0.396739652579772,1.02520305235059,0.211319251872569
"36",36,0.389483097866873,1.02319045533568,0.211890090248939
"37",37,0.381159847547352,1.03137427173629,0.211502999829176
"38",38,0.377068554369192,1.02482597693099,0.212512736135291
"39",39,0.374270953598522,1.02292922253721,0.211816506012385
"40",40,0.367935188710491,1.02893610127005,0.21337875152986
"41",41,0.365379713619438,1.03539775819222,0.214079650053511
"42",42,0.364578710609791,1.03366651058211,0.214705621616241
"43",43,0.36004067827291,1.04775046012056,0.213534234018142
"44",44,0.360984742334635,1.04296611294678,0.214433481222696
"45",45,0.362151935246363,1.03438303921525,0.214298070155412
"46",46,0.363596866239659,1.02815002309441,0.213357230567088
"47",47,0.36257017087928,1.02360030064322,0.214414769530847
"48",48,0.363668117623502,1.01730879214818,0.2148535024061
"49",49,0.360773708939607,1.02332898992386,0.213396912667817
"50",50,0.361505010759661,1.01603392444305,0.215599416783463
"51",51,0.362645257036094,1.0121137272504,0.216274393195886
"52",52,0.362520203065689,1.01040971430376,0.216665658769712
"53",53,0.362820362724922,1.00231892765229,0.216913365145866
"54",54,0.369898622652827,0.984909420857323,0.216080757514541
"55",55,0.374368070287211,0.979489333270406,0.216532665541189
"56",56,0.377285676801293,0.970034812811855,0.215357017859015
"57",57,0.370611079386486,0.986823592089079,0.215654724112466
"58",58,0.372674789274267,0.979739471002779,0.21393830245907
"59",59,0.366472288615939,1.00386499920317,0.215220843740446
"60",60,0.377512445923884,0.981170950695874,0.214931935548223
"61",61,0.383369008917037,0.968450214443137,0.213725605442924
"62",62,0.376602497976547,0.986627492735613,0.216538417299543
"63",63,0.380803005694714,0.974415210578738,0.215523812588289
"64",64,0.372157660493335,0.996005695124506,0.217027217496677
"65",65,0.382389587775793,0.97088341712844,0.216320918438518
"66",66,0.375436255875433,0.993613152263591,0.216570397120015
"67",67,0.382722171027048,0.980159708157911,0.21475558088895
"68",68,0.381217374932823,0.982370141930989,0.212219362935002
"69",69,0.382050855481361,0.978096015082308,0.213962107422419
"70",70,0.386118190561034,0.964862036827173,0.213872704826052
"71",71,0.38001342160244,0.976284763014175,0.214977385227207
"72",72,0.372618644851933,0.998440134181548,0.216675747881251
"73",73,0.378248072047486,0.97633619460982,0.216044521301139
"74",74,0.374461295041503,0.98826302527976,0.217061344263594
"75",75,0.381266881341753,0.973101368339098,0.213988761803959
"76",76,0.374546233051581,0.994556601027302,0.216669266698822
"77",77,0.382909991391912,0.981868137850617,0.214479894373343
"78",78,0.382839951476927,0.980310119473647,0.213730993143268
"79",79,0.379651600120946,0.986997415822672,0.214501004743889
"80",80,0.386139720654743,0.966145159480573,0.214938313954124
"81",81,0.381011575768996,0.975560443918489,0.216130010591008
"82",82,0.384934384512134,0.967017154712205,0.2130634290027
"83",83,0.376297246752774,0.988053148259494,0.215205346134527
"84",84,0.378267404386213,0.975847348875145,0.216581729295079
"85",85,0.371580141374262,0.993826157218023,0.216376184109781
"86",86,0.375200253203359,0.982097758830793,0.21491307556625
"87",87,0.379031526540656,0.974659796602371,0.213844528924588
"88",88,0.370357922506039,0.991948069684485,0.216341300860953
"89",89,0.379402830240247,0.972644292455381,0.214206399015731
"90",90,0.374358134779143,0.985521394546274,0.216513644997016
"91",91,0.376303965738972,0.983264976283473,0.214431840694554
"92",92,0.376158856115176,0.980460796472432,0.213188158330925
"93",93,0.366831121319979,1.00420558518772,0.216378944575953
"94",94,0.374393078818599,0.977119884017568,0.215431490850447
"95",95,0.373923409336983,0.982512903471276,0.216886500614782
"96",96,0.377787484365035,0.975853864695516,0.213185451545336
"97",97,0.37568456442061,0.982918885336566,0.214637193104667
"98",98,0.376082221956594,0.97926781825678,0.213328141906787
"99",99,0.368633549814316,0.997298099913959,0.21597421163572
"100",100,0.376223333390214,0.974018766148015,0.215734845290691
"101",101,0.370817646034356,0.992597449610665,0.216020459782492
"102",102,0.37570244849071,0.98265346612976,0.214791086360226
"103",103,0.380797158613118,0.983084692523097,0.212800274900929
"104",104,0.380016316356253,0.982292394666355,0.213538927856333
"105",105,0.381177262836477,0.98045035392741,0.213069342126125
"106",106,0.381420990264071,0.981630601075553,0.213858898959282
"107",107,0.377305313509983,0.987024599755965,0.213943857444839
"108",108,0.374659240933708,0.992551702688489,0.214160683191919
"109",109,0.379589708530806,0.974054006708993,0.215022763612329
"110",110,0.375643841127282,0.982884241658704,0.217345943477035
"111",111,0.377062737094826,0.986057297615166,0.213143801167424
"112",112,0.379607590443475,0.981548589210821,0.214412929440546
"113",113,0.378064104093311,0.984395999562718,0.213641211266389
"114",114,0.3761283688958,0.990143015393991,0.214527267269656
"115",115,0.379304139673348,0.976036484351102,0.214511708485923
"116",116,0.373850102049662,0.990934040393081,0.217063840875203
"117",117,0.379653145682789,0.973394478956949,0.21547874453674
"118",118,0.376850388433705,0.98522296788113,0.215682547492631
