"","z","(Intercept)","M","N"
"1",1,2.34374267109559,0.0240989972055692,0.0432156249073327
"2",2,2.29298995327473,0.0484922176022871,0.0606937872275092
"3",3,2.24353840593822,0.0716721664550049,0.0732708743191613
"4",4,2.19529378829819,0.0933056364619866,0.0786043529300583
"5",5,2.13683325456136,0.130059500775953,0.0820507625968837
"6",6,2.07681763341754,0.170984363745013,0.0890488646934939
"7",7,2.01224218156625,0.224341336791694,0.0927963334183981
"8",8,1.95196015570949,0.270400654014169,0.0974282940017517
"9",9,1.88603017235682,0.315365073819865,0.0998229856877511
"10",10,1.81610070350626,0.366379359130256,0.103846608230705
"11",11,1.75420591855976,0.404920514316898,0.108297232085625
"12",12,1.68943536336278,0.443995904916655,0.110611386080885
"13",13,1.62651542702442,0.478225648449241,0.116179725806542
"14",14,1.55295841542799,0.535863621121055,0.123224457119044
"15",15,1.48318859246346,0.575544594951477,0.127872065130135
"16",16,1.41922113897492,0.613085411743153,0.133352094504719
"17",17,1.3457771840316,0.663425757825123,0.137056593445474
"18",18,1.28247397771032,0.695251584087446,0.142227624896776
"19",19,1.20722517860226,0.749516939756128,0.149230376933427
"20",20,1.1303926359407,0.807920261021814,0.152182244826213
"21",21,1.05568738293663,0.856327968072471,0.161223113723955
"22",22,0.986821476974686,0.899667724403167,0.166607949425673
"23",23,0.924662716161934,0.936064256276074,0.169844410677968
"24",24,0.858743779239577,0.975429061540755,0.175964175926691
"25",25,0.798543971686518,1.00332303224643,0.179982139804152
"26",26,0.736582151692116,1.04732160856218,0.187429562588024
"27",27,0.690956933851288,1.07695344957826,0.192132328074576
"28",28,0.640219762911301,1.11415525884953,0.193991028437396
"29",29,0.603692992291723,1.14161801468549,0.196308256973568
"30",30,0.578637133136746,1.15494076852983,0.197364088084305
"31",31,0.550771908252292,1.16493426281497,0.198562316980106
"32",32,0.521557599820352,1.17917105994737,0.204543435168589
"33",33,0.502520227011846,1.18428919668016,0.207638878260995
"34",34,0.489047982110943,1.1945589804131,0.207849914729031
"35",35,0.476321018502873,1.20130862656151,0.209812180034469
"36",36,0.466231491845276,1.19937889156768,0.211299636434305
